ID,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
2247,599.5,682.3,606.9,701.2,920.0
2248,423.7,563.2,462.7,401.8,560.0
2249,418.8,611.5,587.0,433.9,360.0
2250,377.0,410.0,459.9,476.7,460.0
2251,615.9,674.9,651.1,706.1,900.0
2252,631.0,679.2,568.2,653.6,620.0
2253,435.6,514.6,532.6,497.3,380.0
2254,472.4,500.6,485.8,605.7,640.0
2255,420.3,588.9,550.9,424.4,320.0
2256,467.0,558.2,388.2,469.8,460.0
2257,657.6,675.7,627.1,628.7,880.0
2258,484.2,658.6,594.4,405.0,560.0
2259,458.6,444.8,425.0,423.2,340.0
2260,435.0,514.1,476.1,394.6,620.0
2261,535.7,678.2,519.0,658.1,780.0
2262,547.3,627.4,571.1,687.4,780.0
2263,463.6,598.3,551.1,550.4,440.0
2264,629.5,705.8,704.6,553.1,620.0
2265,371.8,480.7,380.9,412.3,400.0
2266,561.8,615.7,644.0,629.7,740.0
2267,586.0,533.6,523.4,387.8,340.0
2268,449.2,608.0,570.2,528.5,640.0
2269,582.8,607.6,580.8,551.8,680.0
2270,469.3,429.8,533.0,689.8,520.0
2271,471.1,593.3,532.0,381.6,320.0
2272,583.0,681.6,637.7,733.1,940.0
2273,385.1,506.5,469.6,419.5,400.0
2274,488.3,569.7,533.1,442.1,300.0
2275,566.7,624.1,587.3,653.1,640.0
2276,428.7,408.0,440.9,441.5,460.0
2277,402.1,403.3,449.3,400.7,320.0
2278,364.1,431.9,408.8,610.7,280.0
2279,451.6,606.6,536.2,435.4,340.0
2280,607.5,656.6,589.4,649.9,460.0
2281,420.7,573.6,617.8,687.8,600.0
2282,453.8,551.5,464.2,600.8,320.0
2283,466.1,611.6,504.5,666.6,580.0
2284,494.0,553.3,451.4,529.1,540.0
2285,520.0,606.9,550.1,461.1,500.0
2286,568.7,655.9,566.9,519.4,840.0
2287,519.8,627.3,609.3,587.9,760.0
2288,418.9,507.5,432.6,456.3,500.0
2289,502.7,414.1,328.9,438.1,360.0
2290,716.0,737.3,675.9,858.1,880.0
2291,377.7,575.0,519.1,543.6,380.0
2292,493.4,543.0,495.4,542.0,580.0
2293,482.7,609.6,618.6,539.9,660.0
2294,517.5,474.4,551.2,551.9,620.0
2295,431.1,425.9,461.0,411.9,340.0
2296,560.6,592.0,492.2,651.9,600.0
2297,441.7,572.0,587.6,460.8,780.0
2298,447.8,465.9,513.9,540.9,320.0
2299,490.8,513.4,527.7,447.0,280.0
2300,391.6,483.7,483.7,427.9,480.0
2301,464.6,454.8,519.3,473.5,420.0
2302,395.7,617.5,589.2,507.5,640.0
2303,558.8,596.7,623.0,599.8,880.0
2304,498.2,606.0,548.1,489.9,580.0
2305,456.3,595.5,458.6,399.0,380.0
2306,475.0,407.9,431.1,424.1,360.0
2307,415.7,534.9,575.7,383.2,540.0
2308,530.2,584.8,600.4,608.8,580.0
2309,461.7,615.0,469.0,444.5,320.0
2310,516.2,615.6,550.2,522.5,520.0
2311,456.8,590.1,455.7,585.6,440.0
2312,407.4,618.5,493.7,445.5,540.0
2313,389.9,524.0,471.9,575.0,480.0
2314,407.9,418.0,461.8,404.4,320.0
2315,465.0,498.0,510.9,391.5,660.0
2316,515.6,430.9,426.2,418.1,240.0
2317,477.4,543.8,570.6,388.6,900.0
2318,444.7,577.6,484.7,393.0,560.0
2319,590.1,660.7,614.3,694.9,740.0
2320,508.6,624.2,588.4,412.1,580.0
2321,466.6,659.3,608.4,711.0,620.0
2322,437.3,595.8,447.6,625.5,320.0
2323,571.8,558.1,546.8,402.7,660.0
2324,556.3,654.4,619.4,620.9,680.0
2325,498.9,630.6,482.8,641.8,460.0
2326,422.3,569.3,506.3,535.0,520.0
2327,731.7,708.3,654.4,762.7,920.0
2328,458.0,447.0,456.6,398.9,500.0
2329,506.6,480.0,467.1,475.3,320.0
2330,629.8,725.5,662.2,832.6,600.0
2331,543.9,628.1,561.9,525.6,560.0
2332,467.9,465.2,397.5,384.1,360.0
2333,685.4,730.2,728.9,857.4,980.0
2334,491.3,656.8,541.0,577.1,840.0
2335,396.2,450.5,400.9,426.5,320.0
2336,441.6,446.4,494.6,387.8,0.0
2337,504.5,621.7,581.1,526.3,500.0
2338,400.2,585.0,552.7,440.9,420.0
2339,484.9,574.3,343.9,481.8,580.0
2340,472.8,537.9,568.8,401.7,320.0
2341,529.7,592.6,511.2,474.0,300.0
2342,532.1,675.9,660.8,714.4,860.0
2343,533.9,574.9,535.5,444.5,600.0
2344,571.7,665.3,560.4,570.7,520.0
2345,566.8,656.3,567.2,659.1,900.0
2346,479.2,551.5,383.5,417.1,440.0
2347,585.3,543.5,527.6,657.1,620.0
2348,503.7,533.7,518.9,447.7,260.0
2349,423.4,571.6,467.9,455.1,560.0
2350,466.4,562.6,480.0,381.2,680.0
2351,430.9,461.6,425.7,447.7,260.0
2352,573.9,623.4,577.7,534.0,460.0
2353,444.0,567.9,523.4,418.1,720.0
2354,582.8,604.5,597.7,621.5,600.0
2355,431.8,464.7,458.0,595.5,300.0
2356,564.6,611.1,567.2,617.0,360.0
2357,394.1,453.7,546.4,463.3,360.0
2358,522.1,665.9,583.6,569.4,500.0
2359,365.4,506.9,426.7,414.5,300.0
2360,497.1,420.5,514.0,442.8,560.0
2361,530.1,621.2,596.2,612.5,660.0
2362,479.6,594.0,396.9,520.0,380.0
2363,493.5,561.7,500.9,441.7,520.0
2364,402.8,441.6,455.0,498.1,360.0
2365,398.7,594.8,488.6,411.8,500.0
2366,501.9,551.8,411.3,502.5,0.0
2367,460.9,516.5,476.8,548.0,560.0
2368,511.5,606.4,477.2,452.0,600.0
2369,442.4,597.1,482.5,461.0,560.0
2370,508.5,581.4,463.8,525.9,300.0
2371,400.0,454.8,397.9,450.4,380.0
2372,429.5,624.4,499.5,469.5,320.0
2373,539.8,617.2,528.5,624.6,660.0
2374,498.6,519.0,569.0,547.7,640.0
2375,570.5,660.3,629.7,599.9,600.0
2376,395.5,529.9,499.5,475.8,340.0
2377,482.8,637.1,580.7,549.1,640.0
2378,465.3,600.0,570.6,576.4,560.0
2379,444.5,524.2,421.2,541.3,520.0
2380,415.0,574.8,456.9,539.6,620.0
2381,557.7,486.9,538.4,506.4,400.0
2382,468.7,617.1,565.6,625.4,920.0
2383,485.6,595.2,573.0,613.0,360.0
2384,446.6,443.4,523.2,485.9,520.0
2385,438.5,520.5,422.9,647.7,600.0
2386,408.1,531.5,532.8,410.4,220.0
2387,575.0,621.2,578.9,616.9,560.0
2388,449.0,509.4,370.2,489.3,320.0
2389,390.8,524.0,541.6,518.3,760.0
2390,529.8,618.5,506.6,502.4,380.0
2391,572.2,638.9,543.1,670.2,360.0
2392,475.0,519.0,359.6,394.9,360.0
2393,511.6,636.5,532.9,610.4,580.0
2394,664.9,692.5,565.7,637.2,560.0
2395,536.5,600.3,533.8,690.1,540.0
2396,517.7,536.9,523.8,452.9,500.0
2397,470.0,541.7,447.6,543.1,320.0
2398,495.3,606.7,586.4,523.3,340.0
2399,500.1,518.5,486.0,623.5,340.0
2400,391.8,566.0,545.4,435.4,320.0
2401,433.2,438.8,491.4,473.6,0.0
2402,507.5,616.5,585.1,447.4,480.0
2403,609.6,677.7,611.7,676.9,840.0
2404,475.1,511.4,416.5,483.0,220.0
2405,615.7,596.7,621.6,638.8,600.0
2406,598.9,653.9,632.5,735.3,560.0
2407,561.6,647.3,596.5,670.9,780.0
2408,514.5,434.6,404.7,392.4,440.0
2409,417.4,547.2,467.1,479.3,300.0
2410,541.8,548.0,482.5,523.2,340.0
2411,443.6,607.0,486.7,440.4,360.0
2412,460.0,595.9,564.3,558.2,460.0
2413,541.1,430.8,421.6,475.9,580.0
2414,619.5,552.6,533.4,518.8,980.0
2415,561.3,610.5,573.0,586.3,580.0
2416,436.4,581.6,495.8,399.7,560.0
2417,487.3,570.2,577.4,617.0,920.0
2418,522.4,522.1,430.8,522.5,320.0
2419,506.6,525.7,484.8,458.1,380.0
2420,417.8,577.2,543.8,593.4,420.0
2421,513.9,606.7,550.7,639.9,600.0
2422,507.5,545.7,495.8,426.0,520.0
2423,417.3,534.8,530.8,450.0,360.0
2424,528.1,570.3,522.4,408.4,400.0
2425,374.5,577.8,520.0,455.0,740.0
2426,413.9,523.2,449.6,429.8,360.0
2427,444.1,478.1,432.4,430.0,540.0
2428,575.1,630.1,590.0,678.5,360.0
2429,482.6,574.2,583.8,720.4,800.0
2430,545.1,569.0,575.7,680.2,760.0
2431,489.1,560.7,518.8,432.8,320.0
2432,492.4,595.8,610.5,646.9,600.0
2433,514.4,525.0,540.6,483.2,540.0
2434,405.4,402.9,498.9,454.4,340.0
2435,437.4,587.9,506.8,475.0,420.0
2436,433.7,456.7,516.0,472.0,540.0
2437,437.4,582.7,492.8,462.1,480.0
2438,443.7,672.0,563.2,619.2,480.0
2439,539.3,666.7,599.4,655.6,600.0
2440,532.7,629.7,577.0,501.8,560.0
2441,590.7,684.7,629.3,695.1,620.0
2442,475.0,550.1,431.6,408.3,280.0
2443,527.9,517.2,520.6,375.9,680.0
2444,571.8,629.9,598.8,551.8,860.0
2445,425.5,452.3,454.0,466.2,520.0
2446,484.5,550.4,532.5,445.6,580.0
2447,535.5,451.3,380.3,562.9,480.0
2448,383.8,483.3,501.8,479.2,240.0
2449,709.9,691.2,662.7,864.1,780.0
2450,543.7,409.2,435.3,541.4,480.0
2451,514.9,461.2,437.0,573.8,340.0
2452,517.4,616.7,547.2,539.7,600.0
2453,409.7,480.6,458.7,444.2,320.0
2454,617.4,679.4,596.4,630.2,920.0
2455,616.6,641.1,576.3,650.9,680.0
2456,396.5,463.5,484.6,471.1,520.0
2457,463.9,645.3,514.1,393.0,360.0
2458,500.1,522.7,508.0,576.4,380.0
2459,386.1,505.4,473.2,383.1,520.0
2460,375.9,492.7,473.4,437.8,0.0
2461,469.3,468.3,407.1,377.3,460.0
2462,460.3,425.9,455.1,475.2,360.0
2463,500.0,535.2,528.5,481.5,660.0
2464,506.0,573.6,511.5,423.5,460.0
2465,552.3,589.2,519.2,441.8,320.0
2466,476.1,562.3,549.6,504.6,540.0
2467,488.6,660.1,641.8,443.4,640.0
2468,514.0,602.2,534.0,479.9,400.0
2469,625.9,499.3,506.8,561.7,480.0
2470,448.0,603.8,529.9,381.5,620.0
2471,531.0,637.9,586.5,702.8,660.0
2472,438.2,425.8,429.3,418.0,320.0
2473,397.4,576.3,535.2,437.8,0.0
2474,621.2,703.8,672.3,735.2,660.0
2475,487.8,465.9,467.3,522.9,280.0
2476,436.8,544.5,531.8,516.7,640.0
2477,597.4,535.3,545.6,493.2,460.0
2478,526.8,559.0,480.5,436.4,560.0
2479,426.3,447.4,405.3,407.6,0.0
2480,443.3,478.8,501.4,480.1,260.0
2481,463.1,556.1,478.8,475.2,340.0
2482,546.9,493.6,511.1,410.4,360.0
2483,417.5,574.5,525.9,403.1,400.0
2484,547.6,625.9,562.4,534.5,660.0
2485,578.4,465.0,524.9,538.2,560.0
2486,403.3,484.0,448.6,546.2,700.0
2487,439.7,627.2,562.7,644.9,500.0
2488,535.7,516.5,563.7,682.3,600.0
2489,417.3,424.3,492.9,410.3,560.0
2490,441.2,632.3,590.1,543.8,0.0
2491,407.4,459.2,505.6,452.7,520.0
2492,454.2,651.7,612.2,560.4,760.0
2493,423.1,543.8,445.8,411.2,540.0
2494,401.4,570.8,369.4,574.5,560.0
2495,626.9,570.8,623.4,658.0,660.0
2496,411.1,465.7,449.0,451.3,340.0
2497,537.2,613.5,570.6,634.8,900.0
2498,487.9,656.6,609.3,449.4,400.0
2499,663.7,653.3,601.2,781.4,540.0
2500,474.3,628.9,582.7,672.3,340.0
2501,535.4,610.4,532.2,496.7,460.0
2502,480.2,431.9,518.9,596.1,360.0
2503,497.3,567.1,580.9,624.4,540.0
2504,500.8,567.5,589.9,484.7,360.0
2505,404.3,649.0,552.4,512.2,820.0
2506,399.5,562.6,465.0,475.6,520.0
2507,573.7,626.0,558.5,693.9,700.0
2508,462.4,535.6,549.0,648.4,500.0
2509,450.3,449.2,436.8,400.2,600.0
2510,445.6,537.5,567.9,616.7,540.0
2511,589.1,484.4,564.3,524.0,600.0
2512,433.2,538.2,444.5,466.4,580.0
2513,453.7,446.7,431.6,395.6,720.0
2514,544.8,597.2,430.6,426.8,340.0
2515,489.4,507.1,420.5,585.4,340.0
2516,547.0,588.2,563.9,415.3,600.0
2517,437.5,603.0,551.5,453.2,460.0
2518,424.1,582.8,504.1,478.6,460.0
2519,400.7,636.6,575.0,568.7,600.0
2520,557.1,628.8,602.3,646.5,620.0
2521,504.5,574.7,543.1,602.4,280.0
2522,626.4,646.1,605.9,770.8,600.0
2523,420.7,540.7,458.6,388.2,340.0
2524,507.3,655.3,509.7,591.1,660.0
2525,378.4,510.0,504.4,480.5,340.0
2526,415.7,575.1,544.9,393.5,740.0
2527,520.8,631.1,562.9,470.6,560.0
2528,537.7,643.2,577.5,746.9,580.0
2529,394.9,594.9,462.1,502.1,400.0
2530,393.9,645.1,568.5,533.6,660.0
2531,377.6,581.6,532.7,597.1,340.0
2532,648.0,640.7,597.6,657.8,780.0
2533,567.9,675.0,587.1,574.9,700.0
2534,496.3,549.5,513.6,529.4,500.0
2535,549.1,573.5,555.1,505.5,260.0
2536,462.5,473.9,514.6,530.0,340.0
2537,618.0,681.8,611.0,560.7,740.0
2538,616.4,676.0,615.9,705.0,960.0
2539,378.9,577.3,450.2,385.1,320.0
2540,523.4,458.3,527.0,472.4,380.0
2541,578.9,613.5,585.1,610.8,540.0
2542,464.0,640.7,581.3,477.7,560.0
2543,419.6,402.2,463.4,456.2,480.0
2544,469.3,462.3,460.8,676.0,660.0
2545,648.9,651.5,626.3,782.6,900.0
2546,455.5,579.4,499.0,542.7,340.0
2547,694.2,762.9,675.4,852.5,920.0
2548,549.5,634.6,601.8,626.1,520.0
2549,556.5,638.1,580.3,718.7,480.0
2550,580.7,647.4,566.9,575.9,580.0
2551,553.6,634.7,649.8,584.8,600.0
2552,455.8,599.4,601.6,547.4,600.0
2553,483.4,569.7,486.7,504.8,620.0
2554,667.7,657.2,571.9,767.9,880.0
2555,451.0,450.3,429.9,453.7,300.0
2556,479.0,397.1,458.1,533.3,0.0
2557,542.7,613.6,580.9,510.2,480.0
2558,571.0,661.1,580.1,530.7,760.0
2559,405.2,604.2,549.7,497.7,480.0
2560,492.2,595.9,571.0,706.3,740.0
2561,663.5,687.2,609.3,749.3,860.0
2562,394.1,501.4,446.2,531.0,0.0
2563,565.4,630.9,570.0,662.6,800.0
2564,539.1,626.5,583.8,496.9,620.0
2565,408.3,417.4,462.5,410.8,540.0
2566,491.9,594.0,543.1,407.8,400.0
2567,457.0,589.4,545.6,463.0,660.0
2568,455.2,656.9,564.4,578.5,360.0
2569,436.9,511.1,565.9,499.3,600.0
2570,380.5,559.1,384.1,448.9,280.0
2571,517.8,514.6,549.9,683.1,360.0
2572,416.9,475.3,470.7,401.3,240.0
2573,449.0,412.2,397.6,448.0,360.0
2574,630.6,687.6,663.3,626.9,880.0
2575,472.2,547.8,498.7,488.3,360.0
2576,554.7,706.3,654.4,607.2,680.0
2577,608.3,646.6,614.0,769.2,680.0
2578,459.9,553.2,462.4,414.9,620.0
2579,391.8,579.6,542.9,410.8,360.0
2580,451.2,455.8,373.0,476.0,280.0
2581,588.4,626.4,575.3,550.8,660.0
2582,453.6,476.7,450.2,496.9,500.0
2583,402.4,528.7,506.1,444.4,580.0
2584,513.4,653.4,555.9,524.2,560.0
2585,401.0,577.2,461.6,481.1,0.0
2586,404.3,618.2,531.3,424.7,560.0
2587,506.5,503.9,560.7,478.5,400.0
2588,440.8,478.9,518.1,493.1,480.0
2589,571.7,595.2,584.5,588.4,660.0
2590,501.6,636.5,620.3,585.5,320.0
2591,585.4,645.6,623.7,602.8,360.0
2592,422.4,474.3,465.3,436.6,580.0
2593,452.2,479.2,463.5,398.2,340.0
2594,547.2,569.5,539.6,510.9,300.0
2595,573.6,498.1,579.7,452.3,480.0
2596,420.2,612.1,600.4,552.1,580.0
2597,447.3,483.6,460.6,476.8,240.0
2598,450.8,572.4,514.4,547.6,320.0
2599,634.8,612.8,581.1,696.0,660.0
2600,441.8,483.5,449.5,514.5,380.0
2601,463.9,488.6,439.1,510.9,520.0
2602,407.4,506.8,431.0,524.9,300.0
2603,408.2,498.3,411.7,397.2,340.0
2604,551.5,527.2,507.6,540.8,560.0
2605,504.5,646.1,555.7,605.7,220.0
2606,554.1,620.8,604.2,565.2,660.0
2607,517.5,585.6,450.0,481.0,340.0
2608,378.4,429.5,386.5,571.0,380.0
2609,488.0,593.6,556.6,660.6,640.0
2610,481.7,609.4,528.9,519.6,500.0
2611,517.8,576.2,495.5,465.2,600.0
2612,522.1,654.6,636.9,468.5,380.0
2613,459.3,481.1,406.1,454.8,320.0
2614,465.8,530.0,542.5,525.4,360.0
2615,434.2,570.1,407.2,538.9,700.0
2616,560.0,480.6,562.1,413.7,480.0
2617,394.7,480.0,342.2,477.6,560.0
2618,498.7,552.9,490.6,583.4,580.0
2619,595.7,616.0,576.3,628.1,820.0
2620,463.8,494.5,551.3,490.8,520.0
2621,424.2,616.5,521.6,506.2,340.0
2622,430.8,423.3,515.8,435.2,540.0
2623,592.4,636.7,674.6,645.2,840.0
2624,407.6,513.2,488.2,496.5,540.0
2625,410.5,447.8,461.8,502.4,520.0
2626,477.6,586.3,410.2,555.5,0.0
2627,490.4,612.5,513.6,493.4,440.0
2628,395.0,603.2,414.8,543.8,340.0
2629,492.3,657.4,591.3,482.6,560.0
2630,529.4,622.7,550.5,743.6,620.0
2631,452.4,550.0,470.4,633.6,360.0
2632,389.8,400.6,406.7,407.1,240.0
2633,445.2,537.8,497.4,464.9,320.0
2634,560.7,626.3,571.4,705.7,480.0
2635,556.4,592.4,558.1,566.9,360.0
2636,398.5,615.7,483.7,608.6,660.0
2637,646.9,643.7,625.2,730.3,800.0
2638,471.4,598.8,523.4,514.6,380.0
2639,526.5,620.4,575.6,737.6,380.0
2640,393.7,525.7,496.8,426.1,580.0
2641,716.9,685.3,662.1,763.6,720.0
2642,467.4,497.9,457.2,392.8,320.0
2643,593.1,639.9,608.5,678.1,760.0
2644,403.2,486.3,515.3,522.0,380.0
2645,458.6,420.7,445.7,497.6,340.0
2646,642.6,697.9,629.8,776.3,780.0
2647,454.0,473.5,558.7,475.4,620.0
2648,434.9,587.9,547.2,658.2,340.0
2649,389.4,433.3,357.3,445.0,360.0
2650,561.2,635.0,616.9,672.6,520.0
2651,441.5,592.5,466.3,486.3,280.0
2652,516.8,530.0,482.2,449.3,520.0
2653,527.7,655.4,583.1,438.9,340.0
2654,439.8,482.6,529.1,496.2,460.0
2655,468.4,604.5,487.9,416.6,460.0
2656,583.4,638.4,606.7,729.7,820.0
2657,458.0,576.9,502.1,418.4,620.0
2658,447.1,617.6,549.4,531.7,620.0
2659,462.9,431.9,514.1,434.9,560.0
2660,421.7,567.3,542.3,516.0,520.0
2661,603.9,689.5,610.7,686.9,920.0
2662,650.6,702.4,637.8,800.5,680.0
2663,427.8,454.8,482.4,447.2,380.0
2664,633.4,679.0,586.2,595.1,760.0
2665,566.0,677.8,589.8,610.1,580.0
2666,441.8,454.3,350.5,385.9,240.0
2667,485.8,430.8,481.1,404.8,380.0
2668,515.8,609.5,531.6,495.6,680.0
2669,467.2,515.8,472.3,477.5,560.0
2670,407.1,481.3,415.3,411.9,320.0
2671,517.5,603.1,493.6,456.2,620.0
2672,577.9,612.3,618.0,646.6,540.0
2673,413.8,461.2,505.5,532.5,340.0
2674,578.2,609.5,558.6,398.3,400.0
2675,410.2,569.2,492.7,428.2,480.0
2676,575.9,590.0,539.6,522.4,940.0
2677,450.9,581.8,555.3,552.4,500.0
2678,456.8,588.0,438.8,562.5,420.0
2679,424.6,622.0,552.9,676.7,540.0
2680,651.7,634.1,620.2,666.0,860.0
2681,419.9,465.6,392.2,411.8,0.0
2682,463.5,548.5,519.1,561.4,360.0
2683,430.4,592.8,579.9,539.1,400.0
2684,382.8,502.4,402.7,379.4,600.0
2685,402.9,603.6,536.4,704.2,380.0
2686,655.5,676.1,655.7,688.1,860.0
2687,490.2,545.8,586.2,515.0,360.0
2688,415.1,606.6,543.6,517.4,680.0
2689,409.0,470.6,459.1,420.4,360.0
2690,543.8,690.4,646.8,641.9,720.0
2691,408.2,640.3,561.1,440.8,480.0
2692,525.1,435.6,528.0,597.6,480.0
2693,441.6,627.2,591.0,617.7,480.0
2694,599.7,644.6,598.8,602.1,660.0
2695,502.1,615.1,532.6,530.9,540.0
2696,450.0,585.3,429.0,393.4,640.0
2697,557.0,597.5,519.0,533.0,700.0
2698,505.4,446.6,455.2,423.5,500.0
2699,662.6,684.8,662.7,741.3,800.0
2700,477.3,579.3,469.3,479.9,360.0
2701,521.8,490.2,431.2,435.3,320.0
2702,446.0,593.0,469.4,447.3,300.0
2703,426.4,438.5,506.7,556.7,700.0
2704,494.8,460.6,403.7,418.1,320.0
2705,544.8,548.3,507.9,585.2,720.0
2706,494.0,509.0,406.4,487.6,560.0
2707,386.1,559.0,475.9,498.3,460.0
2708,440.0,623.4,538.7,446.9,640.0
2709,628.7,653.4,625.8,476.2,800.0
2710,422.2,580.9,375.9,546.1,360.0
2711,595.6,683.9,612.8,470.4,880.0
2712,453.8,564.2,457.4,574.6,440.0
2713,542.5,637.6,622.6,676.2,740.0
2714,460.5,588.1,612.2,636.3,920.0
2715,397.9,622.8,517.0,577.7,440.0
2716,526.8,450.6,427.4,463.1,380.0
2717,495.3,432.5,371.2,484.1,240.0
2718,533.8,421.0,381.9,543.0,360.0
2719,410.3,540.6,509.9,530.7,420.0
2720,420.8,633.8,438.0,685.1,560.0
2721,605.6,653.2,624.2,709.6,640.0
2722,475.4,653.8,600.4,741.6,540.0
2723,498.7,606.5,553.3,449.3,520.0
2724,419.3,570.4,533.9,542.7,480.0
2725,473.6,569.5,497.9,540.7,620.0
2726,474.9,550.7,524.9,506.4,440.0
2727,517.3,657.6,524.2,705.8,740.0
2728,413.4,550.7,461.8,394.8,360.0
2729,483.1,633.6,593.9,509.7,640.0
2730,451.3,445.4,382.4,401.6,300.0
2731,714.8,739.2,672.1,771.1,880.0
2732,386.0,435.0,488.4,422.0,560.0
2733,404.4,635.7,528.0,462.0,360.0
2734,466.8,518.1,467.6,430.9,740.0
2735,509.4,590.6,504.2,472.2,600.0
2736,578.8,635.2,609.9,572.0,560.0
2737,494.3,596.9,538.7,538.1,680.0
2738,536.0,581.2,584.1,463.4,600.0
2739,510.1,591.1,563.6,390.3,600.0
2740,399.5,598.1,480.0,520.6,320.0
2741,413.3,578.2,559.7,634.0,800.0
2742,411.8,613.6,553.9,516.3,320.0
2743,376.1,598.3,435.0,465.3,320.0
2744,472.5,480.5,523.1,451.3,560.0
2745,435.1,565.4,472.0,643.7,620.0
2746,560.1,489.7,500.1,515.9,440.0
2747,583.7,631.9,584.0,531.2,700.0
2748,528.9,636.4,583.5,530.7,780.0
2749,620.8,678.3,614.2,817.3,680.0
2750,451.6,637.1,592.4,559.8,620.0
2751,482.2,645.1,594.1,706.5,700.0
2752,601.0,687.2,653.3,715.9,560.0
2753,405.3,546.2,426.6,408.1,360.0
2754,631.6,676.9,618.6,655.8,880.0
2755,478.9,591.3,494.3,529.3,360.0
2756,473.7,503.1,477.5,556.3,320.0
2757,404.8,507.7,506.0,408.0,580.0
2758,539.5,528.9,496.4,556.9,360.0
2759,450.5,646.3,586.8,594.9,620.0
2760,429.7,498.0,458.5,483.9,280.0
2761,554.8,557.9,553.3,465.6,260.0
2762,498.8,679.7,610.4,450.9,820.0
2763,412.9,625.3,612.5,529.8,740.0
2764,550.3,667.2,571.5,541.4,560.0
2765,471.3,527.2,541.6,605.0,360.0
2766,446.1,415.1,525.5,579.4,360.0
2767,584.8,651.2,647.9,700.1,580.0
2768,541.9,599.7,604.0,634.8,640.0
2769,516.2,529.9,475.4,479.7,600.0
2770,595.0,545.8,571.6,672.6,400.0
2771,421.7,516.4,423.1,430.9,560.0
2772,399.1,414.6,477.9,432.1,320.0
2773,494.9,662.0,562.8,594.5,520.0
2774,612.3,631.3,541.9,600.4,760.0
2775,379.1,450.7,538.7,490.0,480.0
2776,560.1,558.2,580.5,474.8,580.0
2777,540.3,621.6,606.4,482.0,800.0
2778,480.5,601.3,555.3,410.9,420.0
2779,435.4,545.1,548.6,620.5,340.0
2780,587.3,661.3,585.6,722.4,680.0
2781,466.7,426.0,401.0,411.1,240.0
2782,456.2,626.3,546.4,637.5,360.0
2783,427.0,558.9,484.3,384.7,260.0
2784,498.0,607.0,470.0,619.9,360.0
2785,473.7,503.8,422.0,453.2,340.0
2786,430.6,431.0,513.5,463.3,540.0
2787,550.4,663.7,631.3,715.6,520.0
2788,468.4,622.4,596.0,535.8,620.0
2789,450.3,466.2,401.0,375.5,300.0
2790,397.2,446.6,465.5,403.2,320.0
2791,546.2,686.7,704.0,505.3,820.0
2792,482.2,653.9,642.3,486.6,600.0
2793,559.3,587.2,483.7,554.9,500.0
2794,427.4,436.5,433.4,441.5,300.0
2795,494.5,510.5,408.3,498.7,320.0
2796,481.9,594.1,559.6,581.0,620.0
2797,525.8,625.7,533.3,552.6,460.0
2798,510.5,662.3,572.4,370.8,440.0
2799,456.7,452.8,531.1,496.3,560.0
2800,451.7,532.4,424.0,538.6,340.0
2801,412.9,498.8,368.5,492.7,260.0
2802,541.8,662.6,626.8,629.1,560.0
2803,446.0,479.5,479.1,400.9,340.0
2804,454.6,501.8,479.1,486.3,0.0
2805,559.0,677.1,633.5,553.2,680.0
2806,628.8,680.5,590.2,776.4,560.0
2807,586.2,652.2,630.4,682.8,700.0
2808,465.4,629.0,540.1,497.3,740.0
2809,639.0,706.3,641.7,717.4,480.0
2810,577.3,634.3,589.4,633.5,380.0
2811,434.0,551.9,462.1,460.9,300.0
2812,580.5,589.6,576.2,504.1,720.0
2813,403.7,568.4,501.6,413.3,360.0
2814,434.0,452.2,447.9,438.1,220.0
2815,619.6,624.0,588.8,742.0,640.0
2816,448.7,508.0,546.1,507.6,480.0
2817,466.5,618.1,522.5,532.8,600.0
2818,465.0,690.9,693.1,601.4,540.0
2819,451.5,565.5,555.2,439.6,700.0
2820,430.9,575.8,499.0,464.3,360.0
2821,412.6,597.8,524.4,524.3,600.0
2822,527.0,608.5,486.1,562.7,580.0
2823,581.4,654.1,608.4,612.6,620.0
2824,523.9,623.0,571.1,567.1,600.0
2825,591.0,669.9,619.1,655.8,600.0
2826,378.7,539.3,489.0,400.5,340.0
2827,494.7,599.7,521.4,420.0,400.0
2828,497.8,621.6,534.8,383.4,600.0
2829,486.8,573.9,529.2,503.9,780.0
2830,532.1,451.2,436.6,423.0,0.0
2831,536.8,655.0,566.8,615.7,480.0
2832,577.6,660.5,625.8,654.8,660.0
2833,560.1,635.0,598.7,701.3,640.0
2834,607.0,697.3,598.8,699.1,660.0
2835,503.2,541.0,421.0,453.0,280.0
2836,449.4,558.6,522.6,453.1,600.0
2837,455.2,604.6,621.8,457.4,640.0
2838,489.9,619.5,485.4,463.9,400.0
2839,391.6,475.9,451.3,466.4,380.0
2840,435.2,497.1,481.8,525.1,360.0
2841,529.6,598.7,504.8,480.0,560.0
2842,407.1,523.7,502.4,529.5,380.0
2843,378.3,608.9,471.8,452.0,580.0
2844,622.7,700.6,676.1,794.4,800.0
2845,433.5,573.9,543.7,477.3,400.0
2846,432.0,405.1,507.8,646.1,440.0
2847,570.4,675.4,610.1,538.8,600.0
2848,486.4,577.6,507.4,506.3,380.0
2849,580.3,639.6,586.6,642.8,600.0
2850,480.9,623.3,612.7,666.2,520.0
2851,554.1,661.1,629.9,701.0,560.0
2852,569.4,674.6,631.7,733.9,880.0
